order_item_id,order_id,product_id,quantity,unit_price
1,1,158,3,293.36
2,1,485,3,453.6
3,1,156,3,220.29
4,1,414,4,378.72
5,2,589,3,257.68
6,2,54,4,329.94
7,2,198,4,269.49
8,2,456,3,340.9
9,2,137,5,134.93
10,3,439,1,147.41
11,3,288,3,133.5
12,4,501,4,252.23
13,4,417,2,288.99
14,4,487,2,428.15
15,4,303,5,161.31
16,4,3,5,342.34
17,5,384,3,64.84
18,5,148,4,129.13
19,5,577,3,399.17
20,5,77,4,226.42
21,5,8,2,390.82
22,6,535,5,309.56
23,6,79,2,389.5
24,7,33,3,338.18
25,7,20,2,271.38
26,7,205,2,306.64
27,7,195,1,374.08
28,7,342,3,108.35
29,8,222,2,162.16
30,8,172,3,317.78
31,8,302,1,9.42
32,8,433,3,230.04
33,9,139,5,415.42
34,9,282,3,209.73
35,9,272,4,60.39
36,9,148,1,119.74
37,10,142,2,350.53
38,10,492,5,200.21
39,10,591,2,321.48
40,10,268,4,270.0
41,10,325,2,336.18
42,11,110,3,286.75
43,11,203,5,51.75
44,12,565,3,344.8
45,12,498,4,190.64
46,13,368,5,22.12
47,13,269,2,375.39
48,14,43,3,454.66
49,15,401,5,464.6
50,15,403,2,281.71
51,16,36,4,254.95
52,16,83,3,195.27
53,16,576,1,191.52
54,17,528,3,351.14
55,17,71,4,455.46
56,17,422,3,365.47
57,17,70,3,250.3
58,17,527,5,265.28
59,18,535,1,320.83
60,18,89,4,140.75
61,19,286,4,213.57
62,19,462,1,194.59
63,19,319,1,20.47
64,20,549,4,150.54
65,20,334,2,279.74
66,20,365,1,158.0
67,21,572,3,379.11
68,21,216,3,479.87
69,21,212,2,290.06
70,22,229,4,208.58
71,22,545,3,137.79
72,22,299,2,291.72
73,22,486,3,199.31
74,23,580,1,117.31
75,23,188,3,127.79
76,23,347,1,310.91
77,23,94,2,189.35
78,24,228,2,487.97
79,24,432,1,33.12
80,24,519,2,238.44
81,25,39,5,333.01
82,25,600,4,188.57
83,25,541,4,176.91
84,25,473,3,19.42
85,25,294,3,56.73
86,26,66,1,16.58
87,26,461,3,334.58
88,26,328,1,383.08
89,26,339,3,109.62
90,27,191,2,286.25
91,27,497,5,339.93
92,27,511,5,114.92
93,27,357,1,37.97
94,27,290,5,409.02
95,28,186,4,220.35
96,28,562,1,130.74
97,28,489,3,277.63
98,29,19,1,93.55
99,30,225,5,318.24
100,30,238,5,132.09
101,30,326,2,395.61
102,31,70,3,234.48
103,31,41,3,447.04
104,31,378,3,281.62
105,31,189,1,274.32
106,32,135,3,46.6
107,33,296,1,485.39
108,33,32,4,22.32
109,33,95,1,169.4
110,33,153,4,312.65
111,33,553,4,191.65
112,34,541,4,162.91
113,34,85,1,110.48
114,34,160,5,170.2
115,35,343,3,479.82
116,35,201,3,281.14
117,35,190,2,458.04
118,36,149,3,325.55
119,36,102,4,377.56
120,36,544,2,123.99
121,36,124,1,81.4
122,36,448,2,418.49
123,37,351,3,111.33
124,37,457,3,91.23
125,37,449,1,202.84
126,37,263,3,331.13
127,37,57,3,37.31
128,38,17,5,466.17
129,38,255,1,398.11
130,39,197,4,375.22
131,40,134,2,289.2
132,41,226,2,205.15
133,41,43,2,445.71
134,42,97,2,97.15
135,42,196,3,56.53
136,42,36,4,264.19
137,42,485,3,486.25
138,42,248,4,198.18
139,43,220,5,16.59
140,43,349,2,262.18
141,44,539,2,29.82
142,44,144,4,251.76
143,44,63,3,416.34
144,45,548,5,246.06
145,45,259,5,396.13
146,45,375,2,431.27
147,45,185,5,412.41
148,46,16,1,70.53
149,47,452,3,311.05
150,47,343,1,423.19
151,48,194,4,271.21
152,48,539,1,34.67
153,48,233,5,333.48
154,48,567,2,25.43
155,49,321,3,26.77
156,49,429,3,97.7
157,49,481,4,56.34
158,50,250,3,111.66
159,50,396,1,234.79
160,50,361,2,375.0
161,51,4,2,244.25
162,51,532,1,13.86
163,51,592,4,386.27
164,51,54,2,313.56
165,51,446,1,442.69
166,52,298,1,231.69
167,53,206,3,35.09
168,53,586,2,50.43
169,53,294,5,50.7
170,53,461,5,310.93
171,54,301,3,256.19
172,54,72,3,366.48
173,54,261,5,352.66
174,54,4,3,239.52
175,54,10,4,309.57
176,55,106,1,86.96
177,56,508,4,214.68
178,56,530,4,357.58
179,57,511,4,100.41
180,57,236,5,292.76
181,57,265,5,67.13
182,57,24,4,282.3
183,57,592,3,381.42
184,58,390,5,81.31
185,58,501,4,267.76
186,58,245,1,185.32
187,58,411,3,78.42
188,59,467,1,471.48
189,60,262,1,411.87
190,61,16,5,68.45
191,61,217,4,374.16
192,62,575,5,292.72
193,62,369,4,382.13
194,63,411,4,86.41
195,63,137,2,124.03
196,63,52,3,62.68
197,63,530,1,312.78
198,64,288,5,131.12
199,64,264,3,294.24
200,65,400,3,181.91
201,65,90,3,110.6
202,65,499,2,351.66
203,65,53,4,40.11
204,65,208,4,318.89
205,66,46,5,406.5
206,66,80,4,442.11
207,66,218,1,58.99
208,67,417,1,309.64
209,67,590,1,80.32
210,67,436,1,57.48
211,68,453,3,71.75
212,68,376,5,197.82
213,68,355,4,98.5
214,68,64,5,285.84
215,69,220,2,16.7
216,69,395,5,207.01
217,69,382,5,316.69
218,69,559,5,336.58
219,70,30,5,424.89
220,71,236,3,310.26
221,72,506,4,307.59
222,73,140,1,439.08
223,73,221,1,15.73
224,74,277,2,34.69
225,74,11,2,129.17
226,74,239,4,442.62
227,75,522,1,163.19
228,75,249,2,397.84
229,76,508,2,207.28
230,76,211,4,158.36
231,76,594,3,49.77
232,77,321,4,30.09
233,77,571,2,401.77
234,77,396,2,258.06
235,77,448,3,385.16
236,77,116,4,83.56
237,78,425,2,387.87
238,79,205,5,321.79
239,79,8,2,369.69
240,79,186,3,225.91
241,80,129,4,396.4
242,80,141,1,422.43
243,81,490,4,366.35
244,81,592,4,418.66
245,81,403,3,310.45
246,81,431,3,137.65
247,82,179,3,367.41
248,83,108,2,108.74
249,83,372,5,342.52
250,83,462,3,191.33
251,83,491,2,418.98
252,83,167,3,423.77
253,84,167,5,375.64
254,85,434,1,462.55
255,86,409,3,119.53
256,86,237,1,303.16
257,87,199,3,419.17
258,87,468,3,299.43
259,88,512,4,37.69
260,88,268,2,303.94
261,88,507,4,170.13
262,89,221,2,14.27
263,89,121,3,437.75
264,89,309,5,192.61
265,90,206,1,36.4
266,90,79,2,405.83
267,90,129,3,368.03
268,90,462,3,197.29
269,90,371,2,213.03
270,91,567,3,23.55
271,92,473,3,18.17
272,92,109,5,418.56
273,92,247,2,468.47
274,92,268,1,295.11
275,92,34,5,446.19
276,93,408,1,229.26
277,93,239,2,444.05
278,93,348,3,247.25
279,93,367,3,454.14
280,94,381,2,298.54
281,94,507,4,183.12
282,94,147,1,173.05
283,94,235,3,45.03
284,95,47,5,150.08
285,96,190,2,462.53
286,96,452,3,296.53
287,96,155,5,363.31
288,96,484,1,27.56
289,96,56,5,319.92
290,97,308,3,42.4
291,97,313,2,393.55
292,97,125,4,171.64
293,97,97,3,112.82
294,97,42,1,449.3
295,98,509,3,110.62
296,98,65,3,112.49
297,99,253,3,319.73
298,99,561,2,257.73
299,99,51,2,109.73
300,99,378,1,259.63
301,99,201,1,314.72
302,100,159,3,384.33
303,101,116,4,90.35
304,101,241,2,206.49
305,101,547,1,363.89
306,101,227,3,126.22
307,101,53,1,38.44
308,102,341,1,419.89
309,102,362,2,322.86
310,102,99,2,381.99
311,102,525,1,258.85
312,103,345,2,87.1
313,103,72,5,389.91
314,103,302,2,9.7
315,103,213,2,25.15
316,104,377,4,137.38
317,104,316,3,54.02
318,104,587,3,269.29
319,104,478,4,323.45
320,104,540,5,415.06
321,105,114,4,89.01
322,105,248,2,203.97
323,105,407,2,448.0
324,105,147,2,180.91
325,105,352,5,438.47
326,106,147,5,187.72
327,106,448,2,428.81
328,106,188,2,143.33
329,106,519,3,239.02
330,106,126,4,340.69
331,107,450,1,258.3
332,108,9,4,385.59
333,108,97,3,111.37
334,109,566,2,260.41
335,110,79,3,380.59
336,110,201,1,295.34
337,110,64,1,297.71
338,111,107,4,435.54
339,112,147,2,163.61
340,112,596,3,318.39
341,112,61,5,142.17
342,112,380,3,95.61
343,113,313,2,387.6
344,113,193,2,286.21
345,113,350,3,328.32
346,113,257,4,441.35
347,114,503,5,163.65
348,114,231,2,84.53
349,114,107,2,482.5
350,115,458,4,295.97
351,115,170,3,361.61
352,115,350,5,324.21
353,115,105,4,302.67
354,116,325,4,354.54
355,116,475,2,310.79
356,117,356,5,339.47
357,118,388,4,120.06
358,119,81,3,346.27
359,119,197,3,341.07
360,119,255,1,398.8
361,119,216,1,468.5
362,120,227,2,125.53
363,120,277,2,31.65
364,120,493,3,144.06
365,121,340,3,77.97
366,122,219,2,341.79
367,123,377,2,121.54
368,123,463,3,376.75
369,123,193,1,280.34
370,123,74,4,158.05
371,124,3,2,327.36
372,125,253,4,281.13
373,125,488,4,363.47
374,125,279,2,120.49
375,125,63,1,380.4
376,125,229,2,190.78
377,126,172,3,328.27
378,126,567,5,22.61
379,126,370,2,276.86
380,127,527,4,285.75
381,128,402,4,123.78
382,128,62,2,286.5
383,128,319,2,19.35
384,128,450,3,241.73
385,129,132,1,257.13
386,129,121,5,412.96
387,129,445,5,7.04
388,129,315,5,75.41
389,129,398,3,273.24
390,130,590,2,88.04
391,130,321,2,28.83
392,130,237,3,301.01
393,130,585,5,302.78
394,131,289,2,297.28
395,132,43,4,432.31
396,132,424,4,208.37
397,132,229,2,211.58
398,133,564,1,216.03
399,133,117,4,334.86
400,133,221,3,15.65
401,133,512,3,37.61
402,134,398,2,289.5
403,134,427,5,265.41
404,134,235,1,41.74
405,135,193,2,306.2
406,135,417,1,290.58
407,135,586,2,45.13
408,136,30,1,469.82
409,136,156,3,226.07
410,136,45,4,386.14
411,136,384,4,67.04
412,136,538,3,421.01
413,137,456,3,335.25
414,138,5,4,300.88
415,138,460,2,48.06
416,138,528,1,331.16
417,139,359,4,129.81
418,139,328,1,407.73
419,139,169,2,325.81
420,140,591,2,334.43
421,140,154,3,40.16
422,140,406,1,63.68
423,140,189,1,271.58
424,140,195,1,348.18
425,141,405,5,380.63
426,141,464,1,90.74
427,142,282,4,226.49
428,142,212,5,309.1
429,143,62,3,306.83
430,143,125,3,185.06
431,143,37,2,419.05
432,143,570,4,276.04
433,143,240,2,72.99
434,144,351,3,116.18
435,144,302,1,8.99
436,144,469,1,250.19
437,144,493,4,157.92
438,144,598,2,273.71
439,145,438,5,431.25
440,145,140,1,433.53
441,145,299,5,288.4
442,146,473,2,17.56
443,146,577,1,411.33
444,146,301,1,254.38
445,147,439,1,161.17
446,147,351,5,116.89
447,147,413,2,166.48
448,147,420,3,84.3
449,148,358,4,17.87
450,148,283,3,10.39
451,149,218,1,63.12
452,150,250,1,102.49
453,150,541,1,159.43
454,150,325,3,350.7
455,150,495,2,389.81
456,151,72,1,348.76
457,152,46,5,421.91
458,152,328,3,363.08
459,152,452,4,326.19
460,152,103,4,438.98
461,152,76,3,202.86
462,153,248,1,181.04
463,153,545,2,135.7
464,153,549,2,151.32
465,154,394,3,383.66
466,154,320,5,400.96
467,155,464,2,87.11
468,155,491,1,421.21
469,155,223,4,213.04
470,156,463,1,424.36
471,156,378,5,278.74
472,156,290,2,373.46
473,157,491,4,419.75
474,157,300,5,348.22
475,157,490,1,324.86
476,158,478,1,323.3
477,158,547,2,343.87
478,159,123,4,469.49
479,160,79,4,375.68
480,161,380,4,98.21
481,161,303,1,142.68
482,161,379,2,450.46
483,162,63,4,377.47
484,162,241,5,209.72
485,162,428,3,375.45
486,162,303,2,166.13
487,162,424,1,222.81
488,163,149,4,356.29
489,163,276,3,247.74
490,163,234,4,98.27
491,164,269,3,341.9
492,165,308,3,38.05
493,166,433,5,249.6
494,167,384,5,63.19
495,168,517,1,172.71
496,168,588,3,218.98
497,168,302,3,8.98
498,169,252,2,18.66
499,169,35,2,80.48
500,169,258,1,96.48
501,169,206,2,37.42
502,169,460,3,45.74
503,170,277,2,35.42
504,170,223,1,237.0
505,170,594,1,50.35
506,170,334,3,314.58
507,171,23,1,367.32
508,171,576,2,204.26
509,172,560,5,52.54
510,172,570,3,294.33
511,172,347,1,302.55
512,172,447,3,273.53
513,172,360,1,209.53
514,173,120,5,442.69
515,174,133,4,281.28
516,174,106,5,78.3
517,175,436,4,61.13
518,175,458,1,297.54
519,176,147,3,185.58
520,177,419,1,81.89
521,177,300,3,306.43
522,177,237,4,317.64
523,177,546,2,150.54
524,177,185,4,414.8
525,178,111,4,287.77
526,179,165,3,369.39
527,179,308,4,42.12
528,179,257,3,481.59
529,179,92,2,11.96
530,180,550,5,284.19
531,180,506,5,305.84
532,180,141,4,385.82
533,180,513,1,298.15
534,181,430,2,52.55
535,182,234,1,112.03
